[conf]                N               3
[conf]                J            3.172
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -6.4114531865      1.000000e+00      1.000000e-03     -1.473477e+01
[itstep]         1    2.000         4.000e-01     -6.5209742193      1.708209e-02      6.672692e+02     -2.738026e-01
[itstep]         2    2.000         4.000e-01     -6.5288335343      1.205236e-03      4.707954e+01     -1.964829e-02
[itstep]         3    2.000         4.000e-01     -6.5337176645      7.480862e-04      2.922212e+01     -1.221033e-02
[itstep]         4    2.000         4.000e-01     -6.5379304438      6.447752e-04      2.518653e+01     -1.053195e-02
[itstep]         5    2.000         4.000e-01     -6.5415748668      5.574276e-04      2.177452e+01     -9.111057e-03
[itstep]         6    2.000         4.000e-01     -6.5446502353      4.701266e-04      1.836432e+01     -7.688421e-03
[itstep]         7    2.000         4.000e-01     -6.5471851200      3.873216e-04      1.512975e+01     -6.337212e-03
[itstep]         8    2.000         4.000e-01     -6.5492338772      3.129218e-04      1.222351e+01     -5.121893e-03
[itstep]         9    2.000         4.000e-01     -6.5508635774      2.488383e-04      9.720246e+00     -4.074251e-03
[itstep]        10    2.000         4.000e-01     -6.5521435910      1.953962e-04      7.632662e+00     -3.200034e-03
[itstep]        11    2.000         4.000e-01     -6.5531389677      1.519162e-04      5.934226e+00     -2.488442e-03
[itstep]        12    2.000         4.000e-01     -6.5539070121      1.172025e-04      4.578224e+00     -1.920111e-03
[itstep]        13    2.000         4.000e-01     -6.5544960993      8.988336e-05      3.511069e+00     -1.472718e-03
[itstep]        14    2.000         4.000e-01     -6.5549458511      6.861729e-05      2.680363e+00     -1.124379e-03
[itstep]        15    2.000         4.000e-01     -6.5552880183      5.219985e-05      2.039057e+00     -8.554180e-04
[itstep]        16    2.000         4.000e-01     -6.5555476401      3.960494e-05      1.547068e+00     -6.490544e-04
[itstep]        17    2.000         4.000e-01     -6.5557442300      2.998833e-05      1.171419e+00     -4.914749e-04
[itstep]        18    2.000         4.000e-01     -6.5558928622      2.267206e-05      8.856274e-01     -3.715806e-04
[itstep]        19    2.000         4.000e-01     -6.5560051052      1.712093e-05      6.687865e-01     -2.806075e-04
[itstep]        20    2.000         4.000e-01     -6.5560897936      1.291768e-05      5.045968e-01     -2.117209e-04
[itstep]        21    2.000         4.000e-01     -6.5561536494      9.739918e-06      3.804655e-01     -1.596394e-04
[itstep]        22    2.000         4.000e-01     -6.5562017731      7.340239e-06      2.867281e-01     -1.203093e-04
[itstep]        23    2.000         4.000e-01     -6.5562380270      5.529711e-06      2.160043e-01     -9.063476e-05
[itstep]        24    2.000         4.000e-01     -6.5562653311      4.164589e-06      1.626793e-01     -6.826009e-05
[itstep]        25    2.000         4.000e-01     -6.5562858903      3.135808e-06      1.224925e-01     -5.139798e-05
[itstep]        26    2.000         4.000e-01     -6.5563013683      2.360790e-06      9.221837e-02     -3.869504e-05
[itstep]        27    2.000         4.000e-01     -6.5563130195      1.777104e-06      6.941814e-02     -2.912808e-05
[itstep]        28    2.000         4.000e-01     -6.5563217893      1.337609e-06      5.225034e-02     -2.192445e-05
[itstep]        29    2.000         4.000e-01     -6.5563283898      1.006736e-06      3.932562e-02     -1.650121e-05
[itstep]        30    2.000         4.000e-01     -6.5563333573      7.576694e-07      2.959646e-02     -1.241882e-05
[itstep]        31    2.000         4.000e-01     -6.5563370957      5.701999e-07      2.227343e-02     -9.346052e-06
[itstep]        32    2.000         4.000e-01     -6.5563399091      4.291033e-07      1.676185e-02     -7.033365e-06
